频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
[BD]中視新聞,https://t.freetv.fun/live/zhong-shi-xin-wen-1.m3u8,https://epg.pw/media/images/channel/2022/05/06/large/20220506164553238162_16.png,中視新聞臺,台灣,台灣,新聞,,
[BD]亞洲旅遊,https://t.freetv.fun/live/ya-zhou-lu-you.m3u8,https://epg.pw/media/images/channel/2018/03/11/large/20180311221333244935_31.png,亞洲旅遊臺,台灣,台灣,其它,,
[BD]亞洲旅遊,https://t.freetv.fun/live/ya-zhou-lu-you-1.m3u8,https://epg.pw/media/images/channel/2018/03/11/large/20180311221333244935_31.png,亞洲旅遊臺,台灣,台灣,其它,,
[HD]人间卫视,https://t.freetv.fun/live/ren-jian-wei-shi.m3u8,https://epg.pw/media/img/logo/1_164.jpg,人間衛視,台灣,台灣,其它,,
[BD]八大綜藝,https://t.freetv.fun/live/ba-da-zong-yi.m3u8,https://epg.pw/media/images/channel/2023/12/07/large/20231207033636715896_75.png,八大綜藝,台灣,台灣,綜合,370146,
[BD]八大綜藝,https://t.freetv.fun/live/ba-da-zong-yi-1.m3u8,https://epg.pw/media/images/channel/2023/12/07/large/20231207033636715896_75.png,八大綜藝,台灣,台灣,綜合,370146,
[BD]公視,https://t.freetv.fun/live/gong-shi.ts,https://epg.pw/media/images/channel/2023/07/24/large/20230724132219452361_49.png,公視HD,台灣,台灣,綜合,,
[BD]公視戲劇,https://t.freetv.fun/live/gong-shi-xi-ju.m3u8,https://epg.pw/media/images/channel/2021/01/11/large/20210111204548266167_97.png,公視戲劇,台灣,台灣,電影,370226,
[BD]博斯無限二,https://t.freetv.fun/live/bo-si-wu-xian-er.m3u8,https://epg.pw/media/images/channel/2016/12/23/large/20161223152025478432_98.jpg,博斯無限,台灣,台灣,運動,,
[BD]博斯無限,https://t.freetv.fun/live/bo-si-wu-xian.m3u8,https://epg.pw/media/images/channel/2016/12/23/large/20161223152025478432_98.jpg,博斯無限,台灣,台灣,運動,,
[BD]博斯無限,https://t.freetv.fun/live/bo-si-wu-xian-1.m3u8,https://epg.pw/media/images/channel/2016/12/23/large/20161223152025478432_98.jpg,博斯無限,台灣,台灣,運動,,
[BD]博斯網球,https://t.freetv.fun/live/bo-si-wang-qiu.m3u8,https://epg.pw/media/images/channel/2020/03/22/large/20200322221733899159_41.png,博斯網球,台灣,台灣,運動,,
[BD]博斯網球,https://t.freetv.fun/live/bo-si-wang-qiu-1.m3u8,https://epg.pw/media/images/channel/2020/03/22/large/20200322221733899159_41.png,博斯網球,台灣,台灣,運動,,
[BD]博斯運動二,https://t.freetv.fun/live/bo-si-yun-dong-er.m3u8,https://epg.pw/media/images/channel/2016/12/31/large/20161231221553445439_57.jpg,博斯運動,台灣,台灣,運動,,
[BD]博斯運動一,https://t.freetv.fun/live/bo-si-yun-dong-yi.m3u8,https://epg.pw/media/images/channel/2016/12/31/large/20161231221553445439_57.jpg,博斯運動,台灣,台灣,運動,,
[BD]博斯高球,https://t.freetv.fun/live/bo-si-gao-qiu.m3u8,https://epg.pw/media/img/logo/2013/10/30/b6b542af76a22d8bb07bcf8a92aa155f.jpg,博斯高球,台灣,台灣,運動,,
[BD]博斯魅力,https://t.freetv.fun/live/bo-si-mei-li.m3u8,https://epg.pw/media/images/channel/2022/03/23/large/20220323221608921478_11.jpg,博斯魅力,台灣,台灣,運動,,
[HD]台视,rtmp://f13h.mine.nu:1935/sat/tv071,https://epg.pw/media/images/channel/2023/07/24/large/20230724092817835507_62.png,台視HD,台灣,台灣,綜合,,
[VGA]唯心电视,https://t.freetv.fun/live/wei-xin-dian-shi.m3u8,https://epg.pw/media/images/channel/2022/05/12/large/20220512231926730574_47.jpg,唯心電視,台灣,台灣,其它,,
[VGA]唯心电视,https://t.freetv.fun/live/wei-xin-dian-shi-1.m3u8,https://epg.pw/media/images/channel/2022/05/12/large/20220512231926730574_47.jpg,唯心電視,台灣,台灣,其它,,
[VGA]寰宇新闻,https://t.freetv.fun/live/huan-yu-xin-wen.m3u8,https://epg.pw/media/images/channel/2023/07/24/large/20230724134652233694_13.png,寰宇新聞FHD,台灣,台灣,新聞,,
[VGA]寰宇新闻,https://t.freetv.fun/live/huan-yu-xin-wen-1.m3u8,https://epg.pw/media/images/channel/2023/07/24/large/20230724134652233694_13.png,寰宇新聞FHD,台灣,台灣,新聞,,
[BD]時尚運動x,https://t.freetv.fun/live/shi-shang-yun-dong-x.m3u8,https://epg.pw/media/images/channel/2022/02/10/large/20220210222534937410_51.png,時尚運動X,台灣,台灣,運動,,
[HD]智林體育,https://t.freetv.fun/live/zhi-lin-ti-yu.m3u8,https://epg.pw/media/images/channel/2022/05/10/large/20220510161417649264_37.jpg,智林體育,台灣,台灣,運動,,
[BD]東森新聞,https://t.freetv.fun/live/dong-sen-xin-wen-1.m3u8,https://epg.pw/media/,東森新聞臺,台灣,台灣,新聞,,
[BD]東森財經新聞,https://t.freetv.fun/live/dong-sen-cai-jing-xin-wen.m3u8,https://epg.pw/media/images/channel/2022/11/26/large/20221126212851373992_22.jpg,東森財經新聞,台灣,台灣,新聞,,
[HD]东森超视,rtmp://f13h.mine.nu/sat/tv331,https://epg.pw/media/images/channel/2023/07/22/large/20230722105657399125_36.png,東森超視,台灣,台灣,綜合,456533,
[BD]民視,https://t.freetv.fun/live/min-shi.m3u8,https://epg.pw/media/images/channel/2022/11/27/large/20221127000500162147_91.jpg,民視,台灣,台灣,綜合,,
[BD]民視,https://t.freetv.fun/live/min-shi-1.ts,https://epg.pw/media/images/channel/2022/11/27/large/20221127000500162147_91.jpg,民視,台灣,台灣,綜合,,
[BD]民视,https://t.freetv.fun/live/min-shi-3.m3u8,https://epg.pw/media/images/channel/2023/07/24/large/20230724151437383611_37.png,民視HD,台灣,台灣,綜合,,
[BD]民视 *28,https://t.freetv.fun/live/min-shi-28.m3u8,https://epg.pw/media/images/channel/2023/07/24/large/20230724151437383611_37.png,民視HD,台灣,台灣,綜合,,
[BD]民視影劇,https://t.freetv.fun/live/min-shi-ying-ju.m3u8,https://epg.pw/media/images/channel/2022/02/10/large/20220210223252835797_79.png,民視影劇臺,台灣,台灣,電影,,
[BD]民視新聞,https://t.freetv.fun/live/min-shi-xin-wen.m3u8,https://epg.pw/media/images/channel/2022/05/06/large/20220506171601310367_14.png,民視新聞 HD,台灣,台灣,新聞,,
[BD]民視第一,https://t.freetv.fun/live/min-shi-di-yi.m3u8,https://epg.pw/media/images/channel/2022/03/23/large/20220323172047199293_67.png,民視第一臺,台灣,台灣,綜合,,
[BD]民視第一,https://t.freetv.fun/live/min-shi-di-yi-1.m3u8,https://epg.pw/media/images/channel/2022/03/23/large/20220323172047199293_67.png,民視第一臺,台灣,台灣,綜合,,
[BD]民視綜藝,https://t.freetv.fun/live/min-shi-zong-yi.m3u8,https://epg.pw/media/images/channel/2022/02/10/large/20220210223807030725_31.png,民視綜藝臺,台灣,台灣,綜藝,,
[BD]民視台灣,https://t.freetv.fun/live/min-shi-tai-wan.m3u8,https://epg.pw/media/images/channel/2023/07/24/large/20230724151611469778_92.png,民視臺灣台,台灣,台灣,綜合,,
[HD]经典香港电影,https://t.freetv.fun/live/jing-dian-xiang-gang-dian-ying.m3u8,https://epg.pw/media/images/channel/2023/04/28/large/20230428003944893108_94.jpg,經典電影臺,台灣,台灣,電影,,
[HD]緯來體育,rtmp://f13h.mine.nu/sat/tv721,https://epg.pw/media/images/channel/2023/07/22/large/20230722105618864183_26.png,緯來體育,台灣,台灣,運動,456575,
[SD]纬来体育,rtmp://f13h.mine.nu/sat/tv721,https://epg.pw/media/images/channel/2023/07/22/large/20230722105618864183_26.png,緯來體育,台灣,台灣,運動,456575,
[HD]纬来体育,rtmp://f13h.mine.nu/sat/tv721,https://epg.pw/media/images/channel/2023/07/22/large/20230722105618864183_26.png,緯來體育,台灣,台灣,運動,456575,
[HD]台視,https://t.freetv.fun/live/tai-shi.ts,https://epg.pw/media/uploads/tmp_logo/2015/09/29/20150929121750759037_14.jpg,臺視HD,台灣,台灣,新聞,,
[BD]台視新聞,https://t.freetv.fun/live/tai-shi-xin-wen.m3u8,https://epg.pw/media/uploads/tmp_logo/2016/11/22/20161122123940121042_91.png,臺視新聞臺,台灣,台灣,新聞,,
[HD]华视,rtmp://f13h.mine.nu/sat/tv111,https://epg.pw/media/images/channel/2020/07/26/large/20200726143140379428_88.jpg,華視,台灣,台灣,綜合,370143,
[BD]华视,rtmp://f13h.mine.nu/sat/tv111,https://epg.pw/media/images/channel/2020/07/26/large/20200726143140379428_88.jpg,華視,台灣,台灣,綜合,370143,
[BD]華視,https://t.freetv.fun/live/hua-shi-2.ts,https://epg.pw/media/images/channel/2022/05/06/large/20220506164257585081_80.png,華視HD,台灣,台灣,綜合,,
[BD]華視,https://t.freetv.fun/live/hua-shi-1-1.m3u8,https://epg.pw/media/images/channel/2022/05/06/large/20220506164257585081_80.png,華視HD,台灣,台灣,綜合,,
[BD]華視新聞,https://t.freetv.fun/live/hua-shi-xin-wen.m3u8,https://epg.pw/media/uploads/tmp_logo/2017/05/08/20170508123606517919_39.png,華視新聞,台灣,台灣,新聞,,
[BD]華視新聞,https://t.freetv.fun/live/hua-shi-xin-wen-1.m3u8,https://epg.pw/media/uploads/tmp_logo/2017/05/08/20170508123606517919_39.png,華視新聞,台灣,台灣,新聞,,
[BD]豬哥亮歌廳秀,https://t.freetv.fun/live/zhu-ge-liang-ge-ting-xiu.m3u8,https://epg.pw/media/images/channel/2024/10/22/large/20241022022602435323_42.jpg,豬哥亮歌廳秀,台灣,台灣,綜藝,370186,
[BD]金光布袋戲,https://t.freetv.fun/live/jin-guang-bu-dai-xi.m3u8,https://epg.pw/media/images/channel/2023/07/03/large/20230703010822122677_34.jpeg,金光布袋戲,台灣,台灣,綜藝,,
[BD]金光布袋戏,https://t.freetv.fun/live/jin-guang-bu-dai-xi-1.m3u8,https://epg.pw/media/images/channel/2023/07/03/large/20230703010822122677_34.jpeg,金光布袋戲,台灣,台灣,綜藝,,
[VGA]镜新闻,https://t.freetv.fun/live/jing-xin-wen.m3u8,https://epg.pw/media/images/channel/2023/06/05/large/20230605011449264065_58.jpg,鏡新聞,台灣,台灣,新聞,,
[BD]靖天戲劇,https://t.freetv.fun/live/jing-tian-xi-ju.m3u8,https://epg.pw/media/images/channel/2023/07/20/large/20230720211720021890_59.png,靖天戲劇,台灣,台灣,電影,,
[BD]靖洋戲劇,https://t.freetv.fun/live/jing-yang-xi-ju.m3u8,https://epg.pw/media/images/channel/2023/07/11/large/20230711224936326578_83.jpg,靖洋戲劇,台灣,台灣,電影,,
