频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8,,浙江卫视,,,,,
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8,,浙江卫视,,,,,
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8,,浙江国际,,,,,
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8,,浙江少儿,,,,,
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8,,浙江教科影院,,,,,
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8,,浙江新闻,,,,,
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8,,浙江民生休闲,,,,,
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8,,浙江经济生活,,,,,
浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8,,浙江钱江都市,,,,,
海南卫视,http://111.221.137.234:44330/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0,,海南卫视,,,,,
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8,,深圳卫视,,,,,
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8,,湖南卫视,,,,,
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8,,湖南卫视,,,,,
玛纳斯,http://218.84.127.245:1026/hls/main1/playlist.m3u8?zxinjd,,玛纳斯,,,,,
珲春新闻,http://stream8.jlntv.cn/hctv/sd/live.m3u8?zjild,,珲春新闻,,,,,
白山公共,http://stream8.jlntv.cn/baishan2/playlist.m3u8?zjild,,白山公共,,,,,
磐石,http://stream5.jlntv.cn/ps/sd/live.m3u8?zjild,,磐石,,,,,
自然传奇,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/81a1ad3a661748bfb8560c92d38204ca/1200.m3u8,,自然传奇,,,,,
舒兰新闻,http://stream8.jlntv.cn/shulan/sd/live.m3u8?zjild,,舒兰新闻,,,,,
航拍中国第二季,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/4000.m3u8,,航拍中国第二季,,,,,
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed,,萧山新闻综合,,,,,
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed,,萧山生活频道,,,,,
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed,,诸暨新闻综合,,,,,
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8,,足球频道,,,,,
辉南新闻,http://stream5.jlntv.cn/hn/sd/live.m3u8?zjild,,辉南新闻,,,,,
通化县,http://stream5.jlntv.cn/thx/sd/live.m3u8?zjild,,通化县,,,,,
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8?zjild,,长白山电视台,,,,,
靖宇,http://stream8.jlntv.cn/jytv/sd/live.m3u8?zjild,,靖宇,,,,,
音乐欣赏,http://61.221.215.25:8800/hls/49/index.m3u8,,音乐欣赏,,,,,
飞碟之谜01,https://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/f0a47e155d32450daa1d36a04fd7d262/2000.m3u8,,飞碟之谜01,,,,,
飞碟之谜02,https://newcntv.qcloudcdn.com/asp/hls/2000/0303000a/3/default/d2454bbb542d4613a9db478dab2addfd/2000.m3u8,,飞碟之谜02,,,,,
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8,,黑龙江卫视,,,,,
龙井,http://stream8.jlntv.cn/ljtv/sd/live.m3u8?zjild,,龙井,,,,,
