频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
兵团卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226111/1.m3u8,https://kakaxi-1.asia/LOGO/兵团卫视.png,兵团卫视,,,卫视频道,,
康巴卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225773/1.m3u8,https://kakaxi-1.asia/LOGO/康巴卫视.png,康巴卫视,,,卫视频道,,
CETV1,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225775/1.m3u8,https://kakaxi-1.asia/LOGO/CETV1.png,CETV1,,,卫视频道,,
CETV4,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226153/1.m3u8,https://kakaxi-1.asia/LOGO/CETV4.png,CETV4,,,卫视频道,,
睛彩竞技,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226116/1.m3u8,https://kakaxi-1.asia/LOGO/睛彩竞技.png,睛彩竞技,,,数字频道,,
睛彩篮球,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226118/1.m3u8,https://kakaxi-1.asia/LOGO/睛彩篮球.png,睛彩篮球,,,数字频道,,
睛彩广场舞,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226139/1.m3u8,https://kakaxi-1.asia/LOGO/睛彩广场舞.png,睛彩广场舞,,,数字频道,,
五星体育,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225732/1.m3u8,https://kakaxi-1.asia/LOGO/五星体育.png,五星体育,,,数字频道,,
乐游,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226157/1.m3u8,https://kakaxi-1.asia/LOGO/乐游.png,乐游,,,数字频道,,
生活时尚,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225768/1.m3u8,https://kakaxi-1.asia/LOGO/生活时尚.png,生活时尚,,,数字频道,,
都市剧场,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226155/1.m3u8,https://kakaxi-1.asia/LOGO/都市剧场.png,都市剧场,,,数字频道,,
欢笑剧场,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225771/1.m3u8,https://kakaxi-1.asia/LOGO/欢笑剧场.png,欢笑剧场,,,数字频道,,
游戏风云,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226140/1.m3u8,https://kakaxi-1.asia/LOGO/游戏风云.png,游戏风云,,,数字频道,,
动漫秀场,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226138/1.m3u8,https://kakaxi-1.asia/LOGO/动漫秀场.png,动漫秀场,,,数字频道,,
金色学堂,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225748/1.m3u8,https://kakaxi-1.asia/LOGO/金色学堂.png,金色学堂,,,数字频道,,
法治天地,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225994/1.m3u8,https://kakaxi-1.asia/LOGO/法治天地.png,法治天地,,,数字频道,,
卡酷少儿,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226019/1.m3u8,https://kakaxi-1.asia/LOGO/卡酷少儿.png,卡酷少儿,,,数字频道,,
金鹰卡通,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226094/1.m3u8,https://kakaxi-1.asia/LOGO/金鹰卡通.png,金鹰卡通,,,数字频道,,
哈哈炫动,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226161/1.m3u8,https://kakaxi-1.asia/LOGO/哈哈炫动.png,哈哈炫动,,,数字频道,,
嘉佳卡通,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226021/1.m3u8,https://kakaxi-1.asia/LOGO/嘉佳卡通.png,嘉佳卡通,,,数字频道,,
