频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[HD]canal claro,https://t.freetv.fun/live/canal-claro.m3u8,,Canal U,Colombia,Colombia,https://epg.pw/media/uploads/tmp_logo/2014/12/20/20141220033044878395_26.jpg,Entertainment,426x240,freetv-fun-all.txt,292,403,成功,h264,426x240,30.0,有音频,3.700
[VGA]nbt,https://t.freetv.fun/live/nbt-1.m3u8,,NBT HD,Thailand,Thailand,https://epg.pw/media/images/channel/2022/11/25/large/20221125164258717461_57.png,Sports,854x480,freetv-fun-all.txt,18,403,成功,h264,854x480,29.97002997002997,有音频,2.453
[BD]prime9 news,https://t.freetv.fun/live/prime9-news.m3u8,,Prime9 News,India,India,https://epg.pw/media/images/channel/2023/08/18/large/20230818092210687335_41.png,News,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,25.0,有音频,5.860
[VGA]acnn,https://t.freetv.fun/live/acnn.m3u8,464857,CNN HD,United States,United States,https://epg.pw/media/images/channel/2019/01/13/large/20190113215800701920_63.jpg,News,426x240,freetv-fun-all.txt,19,403,成功,h264,426x240,25.0,有音频,2.584
[HD]loreto tv,https://t.freetv.fun/live/loreto-tv.m3u8,,RETRO TV,United States,United States,https://epg.pw/media/img/logo/1_118.jpg,Other,1280x720,freetv-fun-all.txt,12,403,成功,h264,1280x720,29.97002997002997,有音频,1.606
[VGA]dubai racing 2,https://t.freetv.fun/live/dubai-racing-2.m3u8,,Dubai Racing 2 TV,United Arab Emirates,United Arab Emirates,https://epg.pw/media/images/channel/2022/05/06/large/20220506163800003846_85.png,Sports,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,25.0,有音频,6.445
[BD]cgtn,https://t.freetv.fun/live/cgtn-8.m3u8,,CGTN(Spain),Spain,Spain,https://epg.pw/media/uploads/tmp_logo/2018/05/16/20180516070123835480_63.jpg,News,1920x1080,freetv-fun-all.txt,14,403,成功,h264,1920x1080,25.0,有音频,1.679
[VGA]canal 10 empordà,https://t.freetv.fun/live/canal-10-emporda.m3u8,,Canal 3,Moldova,Moldova,https://epg.pw/media/images/channel/2022/05/06/large/20220506174522009953_10.png,Generic,640x360,freetv-fun-all.txt,19,403,成功,h264,640x360,25.0,有音频,6.397
[BD]cnn fast,https://t.freetv.fun/live/cnn-fast-1.m3u8,,CNN Fast,United States,United States,https://epg.pw/media/images/channel/2025/01/24/large/20250124234451189254_91.png,News,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,29.97002997002997,有音频,4.827
[BD]rpp tv,https://t.freetv.fun/live/rpp-tv.m3u8,,RPP,Peru,Peru,https://epg.pw/media/images/channel/2022/05/17/large/20220517053216783027_78.png,News,426x240,freetv-fun-all.txt,288,403,成功,h264,426x240,30.0,有音频,7.231
[HD]fs1,https://t.freetv.fun/live/fs1.m3u8,,FS1,United States,United States,https://epg.pw/media/images/channel/2017/07/26/large/20170726141021687969_23.png,Sports,1280x720,freetv-fun-all.txt,17,403,成功,h264,1280x720,59.94005994005994,有音频,1.081
[HD]canal 8,https://t.freetv.fun/live/canal-8-1.m3u8,,Canal 9 HD,France,France,https://epg.pw/media/images/channel/2022/05/06/large/20220506174853139444_50.png,Generic,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,59.94005994005994,有音频,1.526
[HD]horse and country,https://t.freetv.fun/live/horse-and-country-2.m3u8,,Horse&Country,United Kingdom,United Kingdom,https://epg.pw/media/uploads/tmp_logo/2015/04/19/20150419153713628730_64.jpg,Sports,1280x720,freetv-fun-all.txt,17,403,成功,h264,1280x720,25.0,有音频,0.985
